iso3,countryname,genero,age,Fruits (g/day),Non-starchy vegetables (g/day),Beans and legumes (g/day),Unprocessed red meats (g/day),Sugar-sweetened beverages (g/day),Total Protein (g/day)
LCA,Saint Lucia,MALE,57,122.145015,158.43149333333335,16.637012416666668,27.633684249999998,266.18030749999997,75.26399491666666
LCA,Saint Lucia,MALE,62,121.69645916666666,15552.150132499994,16.85229275,27.328857999999997,246.7988816666667,74.58042083333332
LCA,Saint Lucia,MALE,67,120.63998541666666,159.55572583333336,17.16505541666667,27.501572916666664,229.65033666666668,73.82062608333334
LCA,Saint Lucia,MALE,72,119.12925958333331,159.8577275,17.490087166666665,27.44681733333334,215.0844025,73.085483
LCA,Saint Lucia,MALE,77,117.10235708333333,160.10490083333335,17.536375749999998,27.059214333333333,200.7515741666667,72.32307691666666
LCA,Saint Lucia,MALE,82,114.65306508333332,16204.005348333332,17.698198916666666,27.961981750000003,191.4831075,71.85833874999999
LCA,Saint Lucia,MALE,87,112.07262616666668,160.79570666666666,18.32109075,27.690641499999998,183.87680999999998,70.50992066666666
LCA,Saint Lucia,MALE,92,109.30429558333333,161.35710583333335,1577.3807989999998,27.866669583333334,179.47536666666667,69.86821991666667
LKA,Sri Lanka,MALE,22,2.0551631228501224,4.72104162162162,1.4806568574938577,1.817265692874693,15.971692063882063,1.9435637764127767
LKA,Sri Lanka,MALE,27,68.94830475,163.3455125,49.92211091666667,57.32669566666667,431.0575683333334,66.22715366666665
LKA,Sri Lanka,MALE,32,68.78173375,166.62909333333334,50.532559166666665,53.374646666666656,28834.121068333334,66.47462333333333
LKA,Sri Lanka,MALE,37,68.74831258333333,169.11047083333332,51.78384816666667,49.91051541666668,271.8385716666667,66.55967333333334
LKA,Sri Lanka,MALE,42,68.69011333333333,170.53080583333335,53.515245083333326,46.91764308333333,221.66137333333336,66.47645266666667
LKA,Sri Lanka,MALE,47,68.51434049999999,170.85503250000002,55.610998499999994,44.29915141666667,184.85206833333334,66.24898425
LKA,Sri Lanka,MALE,52,68.20841750000001,170.17524749999998,58.02093308333335,42.032698833333335,157.57209416666663,65.88304891666668
LKA,Sri Lanka,MALE,57,67.74284999999999,168.5786075,60.74206091666667,40.084071083333335,137.06942249999997,65.39962658333333
LKA,Sri Lanka,MALE,62,67.15795083333335,166.238385,63.71068625000001,38.36507041666666,121.44421666666669,64.81164275
LKA,Sri Lanka,MALE,67,66.44722650000001,163.23086833333332,66.94194208333334,36.87925,109.39985916666667,64.13512825
LKA,Sri Lanka,MALE,72,65.63440158333334,159.7060666666667,70.39613408333334,35.558592166666664,100.2700525,63.39384825000001
LKA,Sri Lanka,MALE,77,64.72190883333333,155.96907249999998,74.02003974999998,34.40169366666667,93.62795508333335,62.611711833333324
LKA,Sri Lanka,MALE,82,63.75943575,13166.45180916667,77.76309133333332,33.39006666666666,89.07077541666666,61.810206666666666
LKA,Sri Lanka,MALE,87,62.747255499999994,148.360675,81.58832475,32.55349975,86.34336283333333,61.01979033333333
LKA,Sri Lanka,MALE,92,61.71804025,144.62249,85.52113383333334,31.841582833333334,85.26509033333333,60.240825166666674
LSO,Lesotho,MALE,22,2.4361089213759217,5.827355970515971,0.37715595331695334,0.6549795307125308,363.12771675675685,2.1156422776412773
LSO,Lesotho,MALE,27,89.59258966666665,209.48460416666668,12.939329166666667,23.157226999999995,229.08831166666667,73.18714258333334
LSO,Lesotho,MALE,32,95.70863366666667,219.08838416666663,13.078374000000002,24.070749750000004,209.76058333333336,74.09326558333333
LSO,Lesotho,MALE,37,100.15072641666666,225.90670166666666,13.212809166666666,24.933943416666665,26740.8809,74.73549716666666
LSO,Lesotho,MALE,42,102.66631975,18448.380489166666,13.337418416666665,25.753393250000002,178.72396458333333,75.31423566666666
LSO,Lesotho,MALE,47,103.33550299999997,230.98339666666666,13.47082608333333,26.529279750000004,166.78691533333333,75.72247325
LSO,Lesotho,MALE,52,102.28874241666666,229.82264083333337,13.597624916666666,27.22826358333333,156.71534358333332,75.85765399999998
LSO,Lesotho,MALE,57,99.82367091666667,21482.618585833334,13.722614833333333,27.928425333333333,20577.666969583333,75.82149508333333
LSO,Lesotho,MALE,62,96.25851216666666,221.95781166666666,13.85348825,28.556634250000002,141.92703258333333,75.79767916666667
LSO,Lesotho,MALE,67,91.78387583333334,215.93388666666667,13.980920416666669,29.1773225,136.308971,75.51389424999999
LSO,Lesotho,MALE,72,86.73439225000003,209.00498416666667,14.092726166666667,29.785778583333336,132.8165111666667,75.52727775000001
LSO,Lesotho,MALE,77,81.3546085,201.52861333333337,14.192843666666668,30.366819916666667,128.24572241666667,74.99800433333333
LSO,Lesotho,MALE,82,75.82192316666668,193.7987891666667,14.300999500000003,30.974832083333336,127.59900233333332,74.39696308333333
LSO,Lesotho,MALE,87,70.25976775,186.09585500000003,14.363144666666665,31.580393083333338,126.94037075,74.15596516666668
LSO,Lesotho,MALE,92,64.77583449999999,178.51896916666666,14.428497166666666,32.19495625,128.030246,73.39599483333333
LTU,Lithuania,MALE,22,1.5120484938574938,1.6607237616707617,0.12363987100737102,1.7858884742014742,3.5207206142506142,2.7816990491400486
LTU,Lithuania,MALE,27,54.55271533333334,66.64076683333333,4.25257355,63.04697583333333,92.90582,97.02626291666667
LTU,Lithuania,MALE,32,57.96035216666667,76.64085766666666,4.4959638166666664,64.73158366666668,72.67620533333333,98.16489033333335
LTU,Lithuania,MALE,37,60.88827341666667,85.29505025,4.627542733333333,65.45351624999999,58.03651875,98.57079358333333
LTU,Lithuania,MALE,42,63.04324191666666,92.01720866666665,4.656993975,65.30400949999999,47.4549065,98.37299658333335
LTU,Lithuania,MALE,47,64.34076699999999,96.57237183333335,4.84616375,64.4400575,39.721824,97.98638075000002
LTU,Lithuania,MALE,52,64.83317349999999,98.90393608333333,4.9470225249999995,62.96048066666666,34.00442991666667,96.81069758333335
LTU,Lithuania,MALE,57,64.50656958333333,99.17486125,5.069383733333334,60.99757608333334,29.744693416666667,95.63926633333334
LTU,Lithuania,MALE,62,63.55641533333334,97.6821565,5.297371825,4987.8627390833335,26.49794083333333,94.52995375
LTU,Lithuania,MALE,67,62.007805499999996,94.73260316666665,5.34575955,56.1423155,24.008326666666665,92.74735066666665
LTU,Lithuania,MALE,72,59.982103,90.63929491666669,5.624702341666667,53.483523416666664,22.086690583333336,91.00609208333333
LTU,Lithuania,MALE,77,57.599660166666666,85.77762458333335,5.792445616666666,50.68723325,20.670127583333333,88.75674191666666
LTU,Lithuania,MALE,82,54.96702758333333,80.45908225,5.9957343,47.91686358333334,19.7072335,87.47575508333331
LTU,Lithuania,MALE,87,52.24176083333333,74.97825541666667,6.078229583333333,45.18799658333333,19.12105025,85.55642066666667
LTU,Lithuania,MALE,92,49.41401741666667,69.48006058333334,6.380570616666667,42.482576666666674,18.8367205,83.71800233333333
LUX,Luxembourg,MALE,22,1.87932715970516,1.8897006167076171,0.2203433751842752,1.9412122457002459,7.383963243243243,2.2924995896805895
LUX,Luxembourg,MALE,27,72.767568,74.79946908333334,8.012490266666665,5630.780434916666,230.05479750000003,80.06633691666666
